user_id,gender,age,food_item,food_type,order_time,calories,mood_score,stress_level,activity_level,responded_to_nudge
U0033,Male,31,fried rice,junk,Night,681,2,2,Sedentary,no
U0034,Female,47,kimchi,healthy,Night,720,7,1,Active,yes
U0035,Male,49,tofu stir-fry,healthy,Evening,324,4,3,Moderate,no
U0036,Female,59,sushi,healthy,Afternoon,483,9,1,Active,yes
U0037,Female,44,teriyaki chicken,balanced,Evening,501,3,2,Moderate,yes
U0038,Male,63,dumplings,balanced,Afternoon,1312,10,1,Active,no
U0039,Female,33,teriyaki chicken,balanced,Night,670,1,3,Moderate,no
U0040,Female,37,dumplings,balanced,Night,989,4,2,Moderate,yes
U0041,Female,47,sushi,healthy,Evening,471,7,1,Active,yes
U0042,Female,72,dumplings,balanced,Afternoon,682,2,3,Sedentary,no
U0043,Male,61,spring rolls,healthy,Morning,1048,5,2,Sedentary,no
U0044,Male,46,dumplings,balanced,Morning,834,9,1,Active,yes
U0045,Female,59,pho,balanced,Night,961,3,3,Sedentary,yes
U0046,Male,66,tofu stir-fry,healthy,Evening,915,2,3,Moderate,yes
U0047,Female,33,ramen,junk,Night,909,10,2,Active,yes
U0048,Female,68,spring rolls,healthy,Afternoon,511,9,1,Active,no
U0049,Male,36,kimchi,healthy,Evening,733,2,2,Sedentary,no
U0050,Male,67,fried rice,junk,Afternoon,857,4,2,Moderate,yes
U0051,Male,70,spring rolls,healthy,Afternoon,900,8,1,Active,yes
U0052,Female,76,teriyaki chicken,balanced,Night,1011,8,1,Active,yes
U0053,Male,69,teriyaki chicken,balanced,Afternoon,563,5,3,Sedentary,no
U0054,Male,66,spring rolls,healthy,Night,964,7,1,Active,yes
U0055,Female,55,dumplings,balanced,Evening,592,10,1,Active,no
U0056,Male,18,fried rice,junk,Night,517,3,3,Moderate,yes
U0057,Female,56,fried rice,junk,Evening,1030,8,1,Active,yes
U0058,Female,36,ramen,junk,Afternoon,1018,3,3,Sedentary,yes
U0059,Female,78,spring rolls,healthy,Night,1146,2,3,Sedentary,no
U0060,Male,42,ramen,junk,Evening,915,9,1,Active,yes
U0061,Male,71,kimchi,healthy,Night,689,7,1,Active,yes
U0062,Male,45,sushi,healthy,Night,546,7,2,Active,no
U0063,Male,79,fried rice,junk,Morning,599,8,1,Active,no
U0064,Male,20,spring rolls,healthy,Afternoon,678,3,3,Moderate,no
U0065,Female,67,fried rice,junk,Evening,706,10,1,Active,yes
U0066,Male,43,dumplings,balanced,Night,779,1,2,Sedentary,no
U0067,Female,20,spring rolls,healthy,Evening,697,1,3,Sedentary,yes
U0068,Female,49,spring rolls,healthy,Morning,611,5,3,Sedentary,no
U0069,Male,25,ramen,junk,Afternoon,503,1,3,Moderate,yes
U0070,Male,45,boba tea,junk,Afternoon,1047,5,2,Moderate,yes
U0071,Male,50,ramen,junk,Night,926,8,1,Active,yes
U0072,Female,55,dumplings,balanced,Evening,1270,5,2,Moderate,no
U0073,Male,50,boba tea,junk,Night,911,1,2,Moderate,no
U0074,Male,73,pho,balanced,Afternoon,924,5,3,Sedentary,no
U0075,Male,67,dumplings,balanced,Afternoon,1105,4,3,Moderate,no
U0076,Female,22,boba tea,junk,Morning,1030,3,2,Moderate,no
U0077,Male,53,ramen,junk,Afternoon,1000,10,1,Active,yes
U0078,Male,37,teriyaki chicken,balanced,Evening,1077,10,1,Active,no
U0079,Male,41,kimchi,healthy,Night,975,2,2,Moderate,no
U0080,Female,53,teriyaki chicken,balanced,Evening,922,4,2,Sedentary,yes
U0081,Male,42,fried rice,junk,Night,814,9,1,Active,yes
U0082,Male,25,fried rice,junk,Evening,641,3,2,Moderate,yes
U0083,Male,31,kimchi,healthy,Morning,759,4,3,Sedentary,yes
U0084,Male,34,dumplings,balanced,Afternoon,1101,3,3,Sedentary,no
U0085,Female,66,pho,balanced,Morning,877,1,3,Sedentary,no
U0086,Male,53,dumplings,balanced,Morning,544,5,2,Sedentary,no
U0087,Female,47,kimchi,healthy,Night,701,3,3,Sedentary,yes
U0088,Female,72,ramen,junk,Evening,714,10,1,Active,yes
U0089,Female,29,sushi,healthy,Evening,1180,2,3,Moderate,no
U0090,Female,52,dumplings,balanced,Evening,975,9,2,Active,yes
U0091,Female,59,tofu stir-fry,healthy,Evening,769,5,2,Moderate,no
U0092,Male,54,fried rice,junk,Evening,962,5,3,Moderate,no
U0093,Male,20,teriyaki chicken,balanced,Afternoon,584,7,2,Active,yes
U0094,Male,18,kimchi,healthy,Evening,692,10,2,Active,no
U0095,Male,50,pho,balanced,Afternoon,958,3,2,Sedentary,no
U0096,Female,55,spring rolls,healthy,Night,337,9,1,Active,no
U0097,Female,66,spring rolls,healthy,Evening,802,3,3,Moderate,no
U0098,Female,47,teriyaki chicken,balanced,Morning,702,1,3,Sedentary,no
U0099,Female,71,teriyaki chicken,balanced,Morning,1032,2,3,Sedentary,yes
U0100,Male,79,pho,balanced,Evening,1078,1,2,Sedentary,no
U0101,Male,39,spring rolls,healthy,Night,930,7,2,Active,yes
U0102,Female,19,fried rice,junk,Night,910,5,3,Moderate,yes
U0103,Male,62,dumplings,balanced,Afternoon,456,5,3,Moderate,no
U0104,Female,32,tofu stir-fry,healthy,Evening,776,7,1,Active,yes
U0105,Male,58,dumplings,balanced,Night,985,4,3,Moderate,yes
U0106,Male,24,boba tea,junk,Night,1044,7,2,Active,no
U0107,Female,47,sushi,healthy,Morning,797,4,2,Moderate,no
U0108,Female,52,fried rice,junk,Evening,657,10,1,Active,no
U0109,Female,79,dumplings,balanced,Afternoon,1017,1,2,Sedentary,no
U0110,Female,49,spring rolls,healthy,Evening,993,8,2,Active,no
U0111,Female,79,sushi,healthy,Night,638,8,1,Active,yes
U0112,Male,25,spring rolls,healthy,Evening,754,5,2,Moderate,no
U0113,Male,69,spring rolls,healthy,Night,926,4,2,Moderate,yes
U0114,Male,32,teriyaki chicken,balanced,Night,780,3,2,Sedentary,no
U0115,Female,19,spring rolls,healthy,Evening,731,2,3,Moderate,yes
U0116,Male,58,boba tea,junk,Morning,713,3,2,Moderate,no
U0117,Male,69,teriyaki chicken,balanced,Afternoon,629,7,1,Active,yes
U0118,Female,77,boba tea,junk,Afternoon,592,8,1,Active,yes
U0119,Female,33,spring rolls,healthy,Morning,996,10,1,Active,no
U0120,Female,30,boba tea,junk,Evening,519,4,2,Sedentary,no
U0121,Male,52,boba tea,junk,Evening,730,7,1,Active,no
U0122,Male,41,pho,balanced,Afternoon,886,7,1,Active,no
U0123,Male,75,fried rice,junk,Afternoon,882,5,3,Moderate,no
U0124,Female,35,dumplings,balanced,Afternoon,483,5,2,Moderate,yes
U0125,Male,64,ramen,junk,Afternoon,539,3,3,Sedentary,yes
U0126,Female,25,kimchi,healthy,Morning,719,3,3,Moderate,no
U0127,Male,54,kimchi,healthy,Morning,600,2,3,Moderate,no
U0128,Female,47,boba tea,junk,Night,1064,2,2,Moderate,no
U0129,Female,69,teriyaki chicken,balanced,Evening,654,4,3,Moderate,yes
U0130,Female,47,kimchi,healthy,Morning,667,7,1,Active,yes
U0131,Male,44,tofu stir-fry,healthy,Afternoon,942,5,2,Moderate,no
U0132,Female,39,pho,balanced,Night,837,4,3,Sedentary,no
U0133,Female,52,boba tea,junk,Afternoon,1148,4,3,Moderate,no
U0134,Female,70,tofu stir-fry,healthy,Night,546,4,2,Moderate,no
U0135,Male,42,boba tea,junk,Afternoon,723,2,2,Moderate,no
U0136,Male,64,pho,balanced,Night,654,3,3,Moderate,no
U0137,Female,52,fried rice,junk,Night,1219,4,2,Sedentary,no
U0138,Male,43,ramen,junk,Evening,1165,3,2,Sedentary,no
U0139,Male,56,spring rolls,healthy,Afternoon,1220,1,2,Moderate,no
U0140,Male,49,dumplings,balanced,Morning,722,1,3,Sedentary,no
U0141,Female,71,teriyaki chicken,balanced,Morning,531,10,2,Active,no
U0142,Male,36,teriyaki chicken,balanced,Evening,632,2,2,Moderate,no
U0143,Female,78,dumplings,balanced,Evening,444,3,3,Moderate,yes
U0144,Female,31,pho,balanced,Evening,1016,4,2,Sedentary,yes
U0145,Male,28,ramen,junk,Morning,652,4,3,Moderate,yes
U0146,Male,71,sushi,healthy,Night,713,5,2,Moderate,no
U0147,Male,54,ramen,junk,Afternoon,798,5,3,Sedentary,no
U0148,Male,66,tofu stir-fry,healthy,Evening,831,10,1,Active,no
U0149,Male,79,boba tea,junk,Morning,668,2,2,Sedentary,no
U0150,Male,41,kimchi,healthy,Afternoon,567,8,1,Active,no
U0151,Male,53,sushi,healthy,Morning,797,10,2,Active,no
U0152,Male,26,boba tea,junk,Evening,896,1,2,Moderate,no
U0153,Female,21,fried rice,junk,Night,734,5,3,Moderate,no
U0154,Female,20,sushi,healthy,Night,1130,4,3,Sedentary,no
U0155,Male,21,fried rice,junk,Night,632,8,1,Active,no
U0156,Male,70,tofu stir-fry,healthy,Morning,958,10,1,Active,no
U0157,Female,24,teriyaki chicken,balanced,Evening,787,2,2,Sedentary,yes
U0158,Female,39,kimchi,healthy,Afternoon,832,3,2,Sedentary,no
U0159,Female,59,sushi,healthy,Morning,1217,4,3,Sedentary,no
U0160,Male,62,pho,balanced,Morning,679,7,1,Active,yes
U0161,Male,26,ramen,junk,Night,571,10,1,Active,yes
U0162,Male,31,dumplings,balanced,Morning,660,2,3,Sedentary,yes
U0163,Female,19,ramen,junk,Afternoon,840,7,1,Active,yes
U0164,Male,43,pho,balanced,Afternoon,559,4,2,Moderate,yes
U0165,Male,63,fried rice,junk,Night,1103,7,1,Active,yes
U0166,Male,75,pho,balanced,Night,971,3,3,Moderate,no
U0167,Female,69,boba tea,junk,Evening,1148,1,3,Sedentary,yes
U0168,Male,42,teriyaki chicken,balanced,Night,609,5,3,Moderate,no
U0169,Male,74,sushi,healthy,Morning,1313,3,3,Moderate,no
U0170,Female,66,sushi,healthy,Night,1008,3,2,Sedentary,yes
U0171,Female,72,dumplings,balanced,Evening,596,2,2,Sedentary,yes
U0172,Male,75,boba tea,junk,Morning,1029,10,1,Active,yes
U0173,Male,41,dumplings,balanced,Morning,756,5,2,Moderate,no
U0174,Female,73,sushi,healthy,Afternoon,730,5,3,Sedentary,no
U0175,Female,66,spring rolls,healthy,Evening,758,3,3,Moderate,no
U0176,Female,52,sushi,healthy,Morning,960,9,1,Active,no
U0177,Female,33,teriyaki chicken,balanced,Afternoon,489,5,2,Moderate,no
U0178,Female,66,spring rolls,healthy,Night,927,4,2,Sedentary,no
U0179,Male,75,boba tea,junk,Evening,804,2,2,Moderate,no
U0180,Male,43,fried rice,junk,Afternoon,718,5,3,Moderate,no
U0181,Male,47,fried rice,junk,Afternoon,951,2,3,Sedentary,yes
U0182,Female,78,tofu stir-fry,healthy,Night,968,7,1,Active,no
U0183,Male,50,ramen,junk,Evening,885,5,3,Sedentary,no
U0184,Male,45,boba tea,junk,Night,949,5,3,Moderate,yes
U0185,Female,27,dumplings,balanced,Evening,661,4,3,Sedentary,yes
U0186,Male,56,boba tea,junk,Night,836,5,3,Sedentary,no
U0187,Female,52,kimchi,healthy,Afternoon,984,10,1,Active,no
U0188,Male,45,kimchi,healthy,Morning,756,10,1,Active,yes
U0189,Female,25,pho,balanced,Evening,260,5,2,Moderate,no
U0190,Male,61,fried rice,junk,Evening,784,2,2,Moderate,no
U0191,Female,58,teriyaki chicken,balanced,Morning,544,2,2,Moderate,no
U0192,Male,44,tofu stir-fry,healthy,Night,976,5,2,Moderate,no
U0193,Female,55,kimchi,healthy,Morning,778,4,2,Sedentary,yes
U0194,Female,66,kimchi,healthy,Night,513,8,1,Active,yes
U0195,Male,56,ramen,junk,Evening,930,1,2,Moderate,yes
U0196,Male,50,sushi,healthy,Afternoon,1038,1,3,Sedentary,yes
U0197,Male,71,boba tea,junk,Evening,910,3,2,Sedentary,no
U0198,Male,44,sushi,healthy,Afternoon,896,1,2,Moderate,yes
U0199,Female,78,kimchi,healthy,Night,614,7,1,Active,yes
U0200,Male,77,spring rolls,healthy,Evening,688,2,2,Sedentary,no
U0201,Male,75,boba tea,junk,Night,1215,7,1,Active,yes
U0202,Female,27,boba tea,junk,Morning,917,8,1,Active,yes
U0203,Male,70,tofu stir-fry,healthy,Afternoon,478,3,2,Sedentary,no
U0204,Female,21,teriyaki chicken,balanced,Evening,876,4,2,Sedentary,no
U0205,Female,74,boba tea,junk,Afternoon,851,9,1,Active,yes
U0206,Male,34,tofu stir-fry,healthy,Afternoon,921,3,2,Sedentary,no
U0207,Male,49,kimchi,healthy,Night,743,10,2,Active,yes
U0208,Male,22,spring rolls,healthy,Evening,768,8,1,Active,yes
U0209,Male,57,sushi,healthy,Evening,1043,9,2,Active,no
U0210,Male,77,teriyaki chicken,balanced,Morning,863,2,2,Moderate,no
U0211,Male,47,dumplings,balanced,Night,1178,1,3,Sedentary,no
U0212,Female,76,pho,balanced,Morning,528,2,2,Moderate,no
U0213,Female,75,kimchi,healthy,Night,551,5,3,Sedentary,yes
U0214,Female,52,spring rolls,healthy,Night,1003,2,2,Sedentary,no
U0215,Male,61,fried rice,junk,Night,1106,2,3,Sedentary,yes
U0216,Male,63,spring rolls,healthy,Afternoon,777,7,1,Active,no
U0217,Female,19,ramen,junk,Evening,705,3,3,Sedentary,no
U0218,Female,45,teriyaki chicken,balanced,Night,831,1,3,Moderate,no
U0219,Male,41,kimchi,healthy,Evening,789,5,3,Sedentary,yes
U0220,Male,70,tofu stir-fry,healthy,Night,585,2,2,Sedentary,no
U0221,Male,53,ramen,junk,Evening,312,2,2,Moderate,no
U0222,Female,25,spring rolls,healthy,Afternoon,585,5,2,Moderate,no
U0223,Male,47,sushi,healthy,Afternoon,1033,3,2,Sedentary,no
U0224,Female,18,dumplings,balanced,Evening,1091,10,1,Active,no
U0225,Male,65,spring rolls,healthy,Morning,751,3,3,Moderate,yes
U0226,Female,49,teriyaki chicken,balanced,Afternoon,780,3,2,Moderate,no
U0227,Male,73,sushi,healthy,Afternoon,1152,1,2,Sedentary,no
U0228,Female,23,fried rice,junk,Night,685,2,3,Moderate,no
U0229,Male,50,fried rice,junk,Morning,937,7,1,Active,no
U0230,Female,19,boba tea,junk,Evening,793,3,2,Sedentary,no
U0231,Male,21,tofu stir-fry,healthy,Morning,711,1,2,Sedentary,yes
U0232,Male,46,spring rolls,healthy,Morning,603,3,2,Sedentary,no
U0233,Male,66,tofu stir-fry,healthy,Evening,702,10,2,Active,yes
U0234,Female,42,pho,balanced,Afternoon,839,8,2,Active,no
U0235,Male,50,tofu stir-fry,healthy,Afternoon,769,10,1,Active,yes
U0236,Male,62,tofu stir-fry,healthy,Night,595,5,2,Moderate,yes
U0237,Male,32,kimchi,healthy,Afternoon,664,4,2,Sedentary,yes
U0238,Female,25,fried rice,junk,Morning,603,5,3,Moderate,no
U0239,Male,63,fried rice,junk,Night,1145,9,1,Active,yes
U0240,Male,53,dumplings,balanced,Morning,780,7,2,Active,yes
U0241,Female,58,tofu stir-fry,healthy,Morning,1040,3,3,Sedentary,no
U0242,Female,22,dumplings,balanced,Morning,1034,1,2,Moderate,yes
U0243,Female,23,sushi,healthy,Afternoon,831,3,2,Sedentary,yes
U0244,Female,79,fried rice,junk,Morning,709,5,3,Sedentary,no
U0245,Male,61,spring rolls,healthy,Morning,1104,4,3,Moderate,no
U0246,Male,79,kimchi,healthy,Morning,820,1,3,Moderate,no
U0247,Female,27,sushi,healthy,Afternoon,1118,5,3,Sedentary,no
U0248,Female,29,ramen,junk,Evening,1067,2,2,Moderate,yes
U0249,Male,26,dumplings,balanced,Evening,1158,4,2,Moderate,yes
U0250,Male,31,dumplings,balanced,Evening,919,2,3,Sedentary,yes
U0251,Female,55,dumplings,balanced,Afternoon,790,5,3,Sedentary,yes
U0252,Male,36,spring rolls,healthy,Night,523,3,3,Moderate,no
U0253,Female,62,boba tea,junk,Evening,938,5,3,Sedentary,no
U0254,Male,35,spring rolls,healthy,Afternoon,769,5,2,Sedentary,yes
U0255,Female,50,dumplings,balanced,Afternoon,703,10,2,Active,no
U0256,Male,66,tofu stir-fry,healthy,Afternoon,800,8,1,Active,no
U0257,Female,22,boba tea,junk,Afternoon,916,2,3,Moderate,no
U0258,Male,18,sushi,healthy,Afternoon,1164,9,1,Active,no
U0259,Male,27,kimchi,healthy,Morning,1075,3,2,Sedentary,no
U0260,Male,75,ramen,junk,Afternoon,1048,9,1,Active,no
U0261,Male,71,tofu stir-fry,healthy,Afternoon,588,9,1,Active,yes
U0262,Female,52,spring rolls,healthy,Night,1148,4,2,Moderate,no
U0263,Male,47,teriyaki chicken,balanced,Evening,1026,1,3,Sedentary,no
U0264,Male,44,kimchi,healthy,Evening,745,2,2,Moderate,yes
U0265,Male,52,sushi,healthy,Morning,852,10,1,Active,yes
U0266,Male,46,tofu stir-fry,healthy,Evening,1248,5,3,Sedentary,no
U0267,Female,23,ramen,junk,Afternoon,821,4,3,Moderate,no
U0268,Female,67,fried rice,junk,Evening,995,10,1,Active,yes
U0269,Male,71,pho,balanced,Morning,889,4,3,Moderate,no
U0270,Female,24,pho,balanced,Afternoon,512,1,3,Moderate,no
U0271,Female,69,spring rolls,healthy,Evening,688,5,3,Moderate,yes
U0272,Female,31,teriyaki chicken,balanced,Afternoon,1165,3,2,Moderate,yes
U0273,Female,59,sushi,healthy,Morning,726,5,3,Moderate,no
U0274,Female,54,pho,balanced,Morning,685,3,2,Sedentary,no
U0275,Male,36,teriyaki chicken,balanced,Evening,919,5,2,Sedentary,yes
U0276,Male,53,boba tea,junk,Evening,591,3,3,Moderate,yes
U0277,Male,70,teriyaki chicken,balanced,Night,910,1,2,Sedentary,no
U0278,Male,22,fried rice,junk,Afternoon,649,10,1,Active,yes
U0279,Female,23,sushi,healthy,Night,768,5,3,Moderate,no
U0280,Male,32,dumplings,balanced,Morning,1045,8,2,Active,no
U0281,Female,59,spring rolls,healthy,Night,766,2,3,Sedentary,yes
U0282,Male,56,teriyaki chicken,balanced,Night,630,7,1,Active,no
U0283,Male,20,teriyaki chicken,balanced,Morning,654,8,2,Active,no
U0284,Female,48,ramen,junk,Evening,898,10,2,Active,no
U0285,Male,34,ramen,junk,Afternoon,513,8,1,Active,no
U0286,Female,53,kimchi,healthy,Night,1292,9,1,Active,no
U0287,Male,71,boba tea,junk,Night,888,5,2,Sedentary,no
U0288,Female,59,teriyaki chicken,balanced,Afternoon,1118,4,2,Sedentary,no
U0289,Female,71,pho,balanced,Morning,1037,8,2,Active,no
U0290,Male,29,kimchi,healthy,Night,871,4,3,Moderate,yes
U0291,Female,41,pho,balanced,Evening,1254,5,3,Sedentary,yes
U0292,Male,72,fried rice,junk,Night,1026,4,3,Sedentary,yes
U0293,Male,76,kimchi,healthy,Morning,571,4,2,Sedentary,no
U0294,Male,75,sushi,healthy,Evening,964,1,2,Moderate,no
U0295,Female,19,kimchi,healthy,Morning,973,2,3,Moderate,no
U0296,Female,24,dumplings,balanced,Evening,1109,10,1,Active,yes
U0297,Male,30,kimchi,healthy,Evening,399,4,2,Sedentary,no
U0298,Male,79,ramen,junk,Night,1025,2,3,Moderate,no
U0299,Female,75,dumplings,balanced,Night,1000,2,2,Moderate,no
U0300,Male,56,fried rice,junk,Evening,681,7,1,Active,no
U0301,Female,49,dumplings,balanced,Evening,640,3,3,Moderate,no
U0302,Female,30,sushi,healthy,Afternoon,610,3,3,Sedentary,no
U0303,Female,59,kimchi,healthy,Night,780,3,2,Sedentary,yes
U0304,Male,71,kimchi,healthy,Afternoon,757,3,2,Moderate,no
U0305,Male,56,teriyaki chicken,balanced,Evening,612,9,1,Active,yes
U0306,Female,19,teriyaki chicken,balanced,Night,723,7,1,Active,no
U0307,Female,52,fried rice,junk,Morning,1162,8,1,Active,yes
U0308,Female,39,fried rice,junk,Morning,1014,8,1,Active,yes
U0309,Male,24,tofu stir-fry,healthy,Evening,604,1,2,Sedentary,no
U0310,Male,44,kimchi,healthy,Afternoon,894,4,2,Sedentary,no
U0311,Female,66,fried rice,junk,Afternoon,796,8,1,Active,yes
U0312,Female,63,pho,balanced,Evening,947,1,2,Moderate,yes
U0313,Male,29,pho,balanced,Evening,751,1,2,Sedentary,no
U0314,Male,24,pho,balanced,Afternoon,601,3,3,Sedentary,no
U0315,Male,60,tofu stir-fry,healthy,Evening,814,2,2,Moderate,no
U0316,Male,44,boba tea,junk,Evening,872,4,3,Moderate,no
U0317,Male,19,dumplings,balanced,Evening,826,7,1,Active,yes
U0318,Female,71,ramen,junk,Morning,1059,8,1,Active,yes
U0319,Female,39,dumplings,balanced,Night,1061,3,2,Moderate,no
U0320,Male,63,tofu stir-fry,healthy,Morning,1042,10,1,Active,no
U0321,Male,32,kimchi,healthy,Afternoon,785,2,3,Moderate,no
U0322,Male,20,boba tea,junk,Evening,512,9,1,Active,yes
U0323,Male,69,kimchi,healthy,Morning,625,2,3,Sedentary,no
U0324,Male,70,teriyaki chicken,balanced,Morning,900,7,1,Active,no
U0325,Male,45,spring rolls,healthy,Night,728,10,2,Active,yes
U0326,Male,37,tofu stir-fry,healthy,Night,862,3,2,Sedentary,no
U0327,Female,62,tofu stir-fry,healthy,Evening,757,2,2,Moderate,no
U0328,Female,53,ramen,junk,Morning,1030,4,3,Moderate,no
U0329,Male,53,sushi,healthy,Night,1054,1,2,Sedentary,yes
U0330,Male,47,teriyaki chicken,balanced,Evening,656,5,2,Sedentary,yes
U0331,Male,37,spring rolls,healthy,Night,1080,7,2,Active,yes
U0332,Female,38,tofu stir-fry,healthy,Evening,532,9,1,Active,yes
U0333,Female,39,teriyaki chicken,balanced,Afternoon,868,3,3,Sedentary,no
U0334,Male,61,spring rolls,healthy,Night,975,3,2,Sedentary,no
U0335,Male,58,fried rice,junk,Morning,831,4,3,Moderate,yes
U0336,Male,41,ramen,junk,Evening,866,8,2,Active,no
U0337,Male,19,boba tea,junk,Morning,770,8,2,Active,yes
U0338,Female,55,ramen,junk,Evening,1212,1,2,Moderate,no
U0339,Female,54,tofu stir-fry,healthy,Morning,1037,10,2,Active,yes
U0340,Male,75,dumplings,balanced,Afternoon,997,9,1,Active,yes
U0341,Male,20,pho,balanced,Morning,694,7,1,Active,yes
U0342,Male,19,boba tea,junk,Morning,991,5,3,Sedentary,no
U0343,Female,78,fried rice,junk,Evening,658,1,2,Sedentary,no
U0344,Male,26,pho,balanced,Afternoon,610,4,2,Moderate,yes
U0345,Female,47,ramen,junk,Evening,619,7,1,Active,yes
U0346,Male,41,spring rolls,healthy,Night,832,1,2,Moderate,yes
U0347,Female,65,fried rice,junk,Afternoon,1007,5,2,Sedentary,yes
U0348,Male,63,dumplings,balanced,Evening,1130,7,2,Active,yes
U0349,Male,46,dumplings,balanced,Morning,937,9,1,Active,no
U0350,Male,36,dumplings,balanced,Evening,454,5,3,Moderate,yes
U0351,Female,67,boba tea,junk,Evening,990,10,2,Active,no
U0352,Female,57,kimchi,healthy,Afternoon,962,3,3,Sedentary,yes
U0353,Male,64,tofu stir-fry,healthy,Night,1212,3,2,Moderate,no
U0354,Male,43,dumplings,balanced,Evening,1262,2,2,Moderate,yes
U0355,Male,33,ramen,junk,Afternoon,1201,8,1,Active,no
U0356,Male,28,boba tea,junk,Night,952,1,3,Sedentary,yes
U0357,Female,45,fried rice,junk,Night,825,5,2,Moderate,no
U0358,Female,22,fried rice,junk,Evening,1019,4,3,Moderate,yes
U0359,Male,49,tofu stir-fry,healthy,Morning,1094,2,3,Moderate,no
U0360,Female,36,fried rice,junk,Morning,726,1,2,Moderate,yes
U0361,Male,50,spring rolls,healthy,Morning,1143,9,1,Active,yes
U0362,Female,61,fried rice,junk,Night,353,4,3,Moderate,yes
U0363,Female,33,sushi,healthy,Evening,715,7,1,Active,yes
U0364,Male,38,dumplings,balanced,Morning,1140,3,2,Moderate,no
U0365,Female,49,sushi,healthy,Evening,809,4,3,Sedentary,no
U0366,Male,37,teriyaki chicken,balanced,Afternoon,579,5,3,Moderate,yes
U0367,Female,37,teriyaki chicken,balanced,Night,949,3,2,Moderate,no
U0368,Male,22,teriyaki chicken,balanced,Evening,867,7,1,Active,no
U0369,Female,65,boba tea,junk,Night,1037,3,2,Moderate,no
U0370,Female,33,fried rice,junk,Morning,705,8,2,Active,yes
U0371,Male,29,sushi,healthy,Evening,548,2,3,Moderate,no
U0372,Female,30,ramen,junk,Evening,773,4,2,Moderate,yes
U0373,Male,49,spring rolls,healthy,Night,889,5,2,Sedentary,no
U0374,Female,36,tofu stir-fry,healthy,Night,998,7,2,Active,no
U0375,Male,46,sushi,healthy,Afternoon,941,3,2,Moderate,no
U0376,Male,41,boba tea,junk,Morning,363,5,2,Moderate,no
U0377,Female,56,kimchi,healthy,Evening,976,4,3,Sedentary,no
U0378,Male,56,ramen,junk,Afternoon,487,10,2,Active,yes
U0379,Male,22,dumplings,balanced,Afternoon,740,8,2,Active,yes
U0380,Female,64,kimchi,healthy,Night,562,1,2,Sedentary,yes
U0381,Female,66,ramen,junk,Night,924,10,2,Active,no
U0382,Male,22,fried rice,junk,Afternoon,839,5,2,Moderate,no
U0383,Female,58,sushi,healthy,Morning,587,2,3,Sedentary,no
U0384,Male,59,boba tea,junk,Morning,1192,5,2,Sedentary,no
U0385,Male,37,kimchi,healthy,Night,777,2,3,Moderate,no
U0386,Female,31,sushi,healthy,Afternoon,674,2,2,Moderate,no
U0387,Female,48,tofu stir-fry,healthy,Night,954,5,3,Moderate,no
U0388,Male,61,fried rice,junk,Afternoon,821,5,3,Sedentary,no
